iter	Passed	Remaining
367	444	762
368	445	762
369	446	760
370	447	759
371	448	757
372	450	756
373	451	755
374	452	753
375	453	752
376	454	750
377	456	750
378	457	749
379	458	747
380	459	746
381	460	744
382	461	743
383	462	741
384	463	740
385	464	738
386	465	737
387	466	735
388	467	733
389	468	732
390	469	731
391	470	730
392	471	728
393	472	727
394	473	725
395	474	724
396	475	722
397	476	721
398	477	719
399	478	718
400	479	716
401	480	715
402	481	713
403	482	712
404	483	710
405	485	709
406	486	708
407	486	706
408	487	705
409	488	703
410	489	702
411	490	700
412	491	699
413	492	697
414	493	696
415	494	694
416	495	693
417	496	691
418	497	690
419	499	689
420	500	688
421	501	686
422	502	685
423	503	683
424	504	682
425	505	680
426	506	679
427	507	677
428	508	676
429	508	674
430	509	673
431	511	672
432	512	670
433	513	669
434	514	668
435	515	667
436	516	665
437	517	664
438	518	663
439	519	661
440	520	660
441	521	658
442	522	657
443	523	655
444	524	654
445	526	653
446	527	652
447	528	651
448	529	649
449	530	648
450	531	646
451	532	645
452	533	644
453	534	642
454	535	641
455	536	640
456	537	638
457	538	637
458	539	635
459	540	634
460	541	633
461	542	632
462	543	630
463	544	629
464	546	628
465	547	626
466	548	626
467	549	624
468	550	623
469	551	621
470	552	620
471	553	619
472	554	617
473	555	616
474	556	614
475	557	613
476	558	612
477	559	611
478	560	609
479	561	608
480	562	607
481	563	605
482	564	604
483	565	603
484	566	602
485	568	600
486	569	599
487	570	598
488	572	597
489	573	596
490	574	595
491	575	594
492	576	592
493	577	591
494	578	590
495	579	588
496	580	587
497	581	586
498	582	584
499	583	583
500	584	582
501	585	580
502	586	579
503	588	578
504	589	577
505	590	576
506	591	574
507	592	573
508	593	572
509	594	570
510	595	569
511	596	568
512	597	566
513	598	565
514	599	564
515	600	563
516	601	562
517	603	561
518	604	559
519	604	558
520	605	557
521	606	555
522	607	554
523	608	553
524	609	551
525	610	550
526	611	549
527	612	547
528	614	546
529	615	545
530	616	544
531	617	543
532	618	541
533	619	540
534	620	539
535	621	537
536	622	536
537	623	535
538	624	534
539	625	532
540	626	531
541	627	530
542	628	528
543	629	527
544	630	526
545	631	525
546	632	523
547	633	522
548	634	521
549	635	520
550	636	519
551	638	518
552	639	516
553	640	515
554	641	514
555	642	512
556	643	511
557	644	510
558	645	509
559	646	508
560	648	507
561	649	505
562	650	504
563	651	503
564	652	502
565	653	500
566	654	499
567	655	498
568	656	497
569	657	495
570	658	494
571	659	493
572	660	492
573	662	491
574	663	490
575	664	488
576	665	487
577	666	486
578	667	485
579	668	483
580	669	482
581	670	481
582	671	480
583	672	479
584	673	477
585	674	476
586	675	475
587	677	474
588	678	473
589	679	471
590	680	470
591	681	469
592	682	468
593	683	467
594	684	465
595	685	464
596	686	463
597	687	462
598	688	461
599	689	459
600	691	459
601	692	457
602	693	456
603	694	455
604	695	454
605	696	452
606	697	451
607	698	450
608	699	449
609	700	447
610	702	446
611	703	445
612	704	444
613	705	443
614	706	442
615	707	441
616	709	440
617	710	438
618	711	437
619	712	436
620	713	435
621	714	434
622	715	432
623	716	431
624	717	430
625	718	429
626	719	428
627	721	427
628	722	426
629	723	425
630	725	424
631	727	423
632	728	422
633	729	420
634	730	419
635	731	418
636	732	417
637	733	416
638	735	415
639	736	414
640	737	413
641	738	411
642	739	410
643	740	409
644	741	408
645	742	407
646	743	405
647	744	404
648	746	403
649	747	402
650	748	401
651	749	400
652	750	399
653	752	397
654	753	396
655	754	395
656	755	394
657	756	393
658	757	391
659	758	390
660	759	389
661	760	388
662	761	387
663	763	386
664	764	385
665	765	384
666	766	382
667	767	381
668	768	380
669	769	379
670	770	378
671	772	376
672	773	375
673	774	374
674	775	373
675	776	372
676	778	371
677	779	370
678	780	369
679	781	367
680	783	366
681	784	365
682	785	364
683	786	363
684	787	362
685	788	360
686	789	359
687	790	358
688	791	357
689	792	356
690	794	355
691	795	353
692	796	352
693	797	351
694	798	350
695	799	349
696	800	347
697	801	346
698	802	345
699	803	344
700	804	343
701	805	341
702	806	340
703	808	340
704	809	338
705	811	337
706	811	336
707	812	335
708	814	334
709	815	333
710	816	332
711	817	330
712	818	329
713	820	328
714	821	327
715	822	326
716	823	324
717	824	323
718	825	322
719	826	321
720	827	320
721	829	319
722	830	318
723	831	316
724	832	315
725	833	314
726	834	313
727	835	312
728	836	310
729	837	309
730	838	308
731	839	307
732	840	306
733	841	305
734	842	303
735	843	302
736	844	301
737	845	300
738	846	299
739	847	297
740	849	296
741	850	295
742	851	294
743	852	293
744	853	292
745	854	291
746	855	289
747	856	288
748	858	287
749	859	286
750	861	285
751	862	284
752	863	283
753	864	282
754	865	280
755	867	279
756	868	278
757	869	277
758	870	276
759	871	275
760	873	274
761	873	272
762	874	271
763	875	270
764	876	269
765	877	268
766	878	267
767	880	265
768	881	264
769	882	263
770	883	262
771	884	261
772	885	260
773	886	258
774	887	257
775	888	256
776	889	255
777	890	254
778	891	252
779	892	251
780	894	250
781	895	249
782	896	248
783	897	247
784	898	246
785	899	244
786	900	243
787	901	242
788	902	241
789	903	240
790	904	239
791	905	237
792	906	236
793	907	235
794	908	234
795	909	233
796	910	231
797	911	230
798	913	229
799	914	228
800	915	227
801	916	226
802	918	225
803	919	224
804	920	222
805	921	221
806	922	220
807	923	219
808	924	218
809	925	217
810	926	215
811	927	214
812	928	213
813	929	212
814	930	211
815	931	210
816	932	208
817	933	207
818	934	206
819	935	205
820	936	204
821	938	203
822	939	201
823	940	200
824	942	199
825	943	198
826	944	197
827	945	196
828	946	195
829	947	194
830	948	192
831	949	191
832	950	190
833	952	189
834	953	188
835	954	187
836	955	186
837	956	184
838	957	183
839	958	182
840	959	181
841	960	180
842	961	179
843	962	177
844	963	176
845	964	175
846	966	174
847	967	173
848	969	172
849	970	171
850	971	170
851	972	168
852	973	167
853	974	166
854	975	165
855	976	164
856	977	163
857	979	162
858	980	160
859	981	159
860	982	158
861	983	157
862	985	156
863	986	155
864	987	154
865	988	152
866	989	151
867	990	150
868	991	149
869	992	148
870	993	147
871	994	146
872	995	144
873	997	143
874	998	142
875	999	141
876	1000	140
877	1001	139
878	1002	137
879	1003	136
880	1004	135
881	1005	134
882	1006	133
883	1007	132
884	1008	131
885	1009	129
886	1010	128
887	1011	127
888	1012	126
889	1013	125
890	1014	124
891	1015	122
892	1017	121
893	1018	120
894	1019	119
895	1020	118
896	1021	117
897	1022	116
898	1023	114
899	1024	113
900	1025	112
901	1027	111
902	1028	110
903	1029	109
904	1030	108
905	1031	107
906	1032	105
907	1033	104
908	1034	103
909	1035	102
910	1036	101
911	1037	100
912	1038	98
913	1039	97
914	1040	96
915	1041	95
916	1043	94
917	1044	93
918	1045	92
919	1046	90
920	1047	89
921	1048	88
922	1049	87
923	1050	86
924	1051	85
925	1052	84
926	1054	83
927	1055	81
928	1056	80
929	1057	79
930	1058	78
931	1059	77
932	1060	76
933	1062	75
934	1063	73
935	1064	72
936	1065	71
937	1066	70
938	1067	69
939	1068	68
940	1069	67
941	1070	65
942	1071	64
943	1073	63
944	1074	62
945	1075	61
946	1076	60
947	1077	59
948	1078	57
949	1079	56
950	1080	55
951	1081	54
952	1083	53
953	1084	52
954	1086	51
955	1087	50
956	1088	48
957	1089	47
958	1091	46
959	1092	45
960	1093	44
961	1094	43
962	1095	42
963	1096	40
964	1097	39
965	1099	38
966	1100	37
967	1101	36
968	1102	35
969	1104	34
970	1105	33
971	1107	31
972	1108	30
973	1109	29
974	1110	28
975	1112	27
976	1113	26
977	1114	25
978	1115	23
979	1117	22
980	1118	21
981	1119	20
982	1120	19
983	1121	18
984	1122	17
985	1123	15
986	1124	14
987	1125	13
988	1126	12
989	1127	11
990	1129	10
991	1130	9
992	1131	7
993	1132	6
994	1133	5
995	1134	4
996	1135	3
997	1136	2
998	1137	1
999	1138	0
